"Id,N,6,0","Notes,C,30","POINT_X,N,19,11","POINT_Y,N,19,11","X,N,19,6","Y,N,19,6","Latitude,C,25","Longitude,C,25"
0,,2243273.16588,486376.909609,-81.504524,40.997379,"-81? 30' 15.045""","40? 59' 51.439"""
0,,2235202.97571,486161.215844,-81.533768,40.997036,"-81? 32' 1.564""","40? 59' 49.329"""
0,,2235288.02925,485906.055215,-81.53347,40.996333,"-81? 32' 0.491""","40? 59' 46.799"""
0,,2235698.10883,485912.130468,-81.531984,40.996337,"-81? 31' 55.142""","40? 59' 46.814"""
0,,2235883.40405,486212.855495,-81.531301,40.997157,"-81? 31' 52.682""","40? 59' 49.765"""
0,,2235521.92649,486196.148549,-81.532611,40.997122,"-81? 31' 57.399""","40? 59' 49.639"""
0,,2235925.93082,485981.995878,-81.531156,40.996522,"-81? 31' 52.161""","40? 59' 47.479"""
0,,2249382.14645,486352.980118,-81.482395,40.99712,"-81? 28' 56.621""","40? 59' 49.630"""
0,,2249069.38345,486357.790932,-81.483527,40.997143,"-81? 29' 0.699""","40? 59' 49.714"""
0,,2248658.77867,486364.606774,-81.485015,40.997175,"-81? 29' 6.053""","40? 59' 49.828"""
0,,2249408.35852,493000.685386,-81.482019,41.015364,"-81? 28' 55.267""","41? 0' 55.310"""
0,,2249112.17708,492996.000285,-81.483092,41.015361,"-81? 28' 59.131""","41? 0' 55.298"""
0,,2248795.98429,492996.023547,-81.484238,41.015371,"-81? 29' 3.256""","41? 0' 55.335"""
0,,2249010.35272,494440.306303,-81.4834,41.019328,"-81? 29' 0.240""","41? 1' 9.580"""
0,,2250361.81389,486336.811078,-81.478846,40.997044,"-81? 28' 43.847""","40? 59' 49.357"""
0,,2250669.37328,486322.00637,-81.477733,40.996993,"-81? 28' 39.839""","40? 59' 49.176"""
0,,2250017.022,486342.114549,-81.480095,40.997069,"-81? 28' 48.343""","40? 59' 49.450"""
0,,2249729.60867,486351.135987,-81.481136,40.997103,"-81? 28' 52.090""","40? 59' 49.572"""
0,,2249944.5005,493950.538366,-81.480036,41.017954,"-81? 28' 48.128""","41? 1' 4.633"""
0,,2249895.26831,493854.781089,-81.480218,41.017692,"-81? 28' 48.785""","41? 1' 3.693"""
0,,2249895.66845,493549.15839,-81.48023,41.016854,"-81? 28' 48.827""","41? 1' 0.673"""
0,,2249900.45289,493301.562089,-81.480223,41.016174,"-81? 28' 48.802""","41? 0' 58.226"""
0,,2249668.60027,492994.005564,-81.481076,41.015337,"-81? 28' 51.873""","41? 0' 55.214"""
0,,2249956.68778,493040.332578,-81.48003,41.015455,"-81? 28' 48.108""","41? 0' 55.639"""
